event_id,client_id,event_type,event_date,location
E049,C036,Baby Shower,2025-09-16,Baghdad
E050,C017,Engagement,2025-08-21,Najaf
E051,C033,Graduation,2025-08-23,Basra
E052,C044,Baby Shower,2025-07-19,Erbil
E053,C019,Wedding,2025-08-24,Baghdad
E054,C005,Graduation,2025-07-31,Basra
E055,C039,Wedding,2025-08-21,Mosul
E056,C026,Graduation,2025-07-19,Erbil
E057,C031,Birthday,2025-09-25,Basra
E058,C020,Birthday,2025-08-23,Basra
E059,C039,Engagement,2025-07-07,Basra
E060,C041,Baby Shower,2025-08-04,Basra
E061,C005,Birthday,2025-09-18,Mosul
E062,C010,Graduation,2025-09-04,Erbil
E063,C049,Baby Shower,2025-08-28,Najaf
E064,C003,Engagement,2025-08-24,Basra
E065,C004,Engagement,2025-09-07,Erbil
E066,C021,Wedding,2025-08-31,Basra
E067,C019,Graduation,2025-07-10,Erbil
E068,C023,Graduation,2025-07-30,Basra
E069,C011,Graduation,2025-09-18,Basra
E070,C037,Birthday,2025-09-18,Baghdad
E071,C005,Graduation,2025-08-23,Najaf
E072,C022,Graduation,2025-07-27,Mosul
E073,C030,Engagement,2025-07-06,Mosul
E074,C035,Graduation,2025-07-27,Mosul
E075,C030,Engagement,2025-07-28,Najaf
E076,C012,Graduation,2025-09-06,Mosul
E077,C007,Birthday,2025-08-11,Najaf
E078,C020,Baby Shower,2025-09-10,Erbil
E079,C045,Wedding,2025-08-01,Erbil
E080,C025,Baby Shower,2025-07-12,Baghdad
E081,C007,Baby Shower,2025-08-14,Basra
E082,C050,Graduation,2025-07-31,Basra
E083,C032,Graduation,2025-09-02,Baghdad
E084,C010,Baby Shower,2025-09-13,Erbil
E085,C015,Baby Shower,2025-08-29,Basra
E086,C012,Wedding,2025-09-19,Basra
E087,C014,Graduation,2025-08-11,Baghdad
E088,C025,Graduation,2025-08-13,Baghdad
E089,C024,Graduation,2025-08-19,Baghdad
E090,C031,Engagement,2025-07-14,Mosul
E091,C005,Graduation,2025-07-16,Basra
E092,C020,Wedding,2025-07-27,Erbil
E093,C024,Graduation,2025-07-30,Baghdad
E094,C002,Wedding,2025-09-08,Erbil
E095,C019,Graduation,2025-09-03,Basra
E096,C004,Engagement,2025-07-12,Basra
E097,C043,Baby Shower,2025-07-21,Mosul
E098,C041,Baby Shower,2025-09-08,Najaf
E099,C006,Wedding,2025-09-20,Erbil
E100,C032,Wedding,2025-09-21,Mosul
E101,C045,Engagement,2025-09-19,Mosul
E102,C042,Wedding,2025-07-07,Najaf
E103,C006,Birthday,2025-09-02,Najaf
E104,C049,Engagement,2025-07-30,Mosul
E105,C046,Birthday,2025-08-20,Basra
E106,C017,Graduation,2025-09-18,Basra
E107,C031,Birthday,2025-09-16,Najaf
E108,C003,Baby Shower,2025-07-06,Mosul
E109,C023,Baby Shower,2025-07-02,Basra
E110,C050,Engagement,2025-08-14,Najaf
E111,C001,Wedding,2025-07-02,Basra
E112,C042,Graduation,2025-07-04,Mosul
E113,C046,Graduation,2025-08-03,Erbil
E114,C033,Baby Shower,2025-09-01,Najaf
E115,C018,Baby Shower,2025-07-09,Mosul
E116,C003,Graduation,2025-08-26,Mosul
E117,C037,Birthday,2025-08-18,Erbil
E118,C036,Graduation,2025-09-15,Mosul
E119,C028,Graduation,2025-08-13,Mosul
E120,C034,Engagement,2025-08-14,Najaf
